,KIC
771,2443945
772,2444176
773,2444328
774,2444406
775,2444412
776,2445004
777,2445019
778,2445101
779,2445154
780,2445329
781,2445536
782,2445598
783,2445782
784,2446261
785,2446577
786,2446733
787,2446761
788,2446784
789,2446828
790,2446970
791,2447049
792,2447058
793,2447358
794,2447568
795,2447586
796,2447596
797,2447620
798,2447808
799,2447838
800,2447853
801,2447866
802,2447882
803,2448052
804,2448186
805,2448281
806,2448299
807,2448311
808,2448335
809,2448368
810,2448447
811,2448568
812,2448603
813,2448711
814,2448874
815,2448958
816,2449017
817,2449047
818,2449053
819,2449151
820,2449189
821,2449247
822,2449293
823,2449431
824,2449471
825,2449799
826,2449818
827,2449830
828,2449849
829,2449899
830,2449944
831,2450180
832,2450384
833,2450419
834,2450531
835,2450552
836,2450581
837,2450602
838,2450716
839,2450836
840,2450979
841,2451067
842,2451089
843,2451424
844,2451491
845,2451573
846,2451643
847,2451734
848,2451759
849,2451768
850,2451929
851,2451986
852,2452020
853,2452034
854,2452057
855,2452246
856,2452261
857,2452379
858,2452699
859,2452748
860,2452784
861,2452920
862,2452977
863,2453079
864,2553816
865,2553931
866,2554123
867,2554317
868,2554433
869,2554456
870,2554481
871,2554542
872,2554571
873,2554618
874,2554695
875,2554818
876,2554947
877,2554989
878,2555004
879,2555035
880,2555075
881,2555167
882,2555349
883,2555400
884,2555476
885,2555568
886,2555646
887,2555719
888,2555722
889,2555905
890,2556081
891,2556113
892,2556123
893,2556126
894,2556495
895,2556592
896,2556702
897,2556923
898,2556976
899,2557021
900,2557105
901,2557325
902,2557335
903,2557678
904,2557807
905,2557816
906,2558016
907,2558321
908,2558363
909,2558623
910,2568503
911,2568573
912,2568708
913,2568717
914,2568982
915,2569679
916,2569737
917,2570277
918,2570505
919,2571075
920,2571155
921,2571238
922,2571374
923,2571490
924,2571740
925,2571748
926,2571771
927,2572233
928,2572318
929,2572352
930,2572370
931,2572455
932,2572490
933,2572681
934,2572787
935,2572788
936,2572839
937,2572871
938,2572877
939,2573006
940,2573016
941,2573074
942,2573120
943,2573190
944,2573376
945,2573951
946,2574013
947,2574216
948,2574247
949,2574326
950,2574399
951,2574420
952,2574552
953,2574644
954,2574692
955,2574699
956,2574717
957,2574999
958,2575164
959,2575174
960,2575219
961,2575518
962,2575544
963,2575926
964,2576013
965,2576087
966,2576220
967,2576328
968,2576549
969,2576882
970,2576991
971,2577005
972,2577109
973,2577210
974,2577273
975,2577353
976,2577383
977,2577568
978,2577694
979,2577786
980,2577795
981,2577892
982,2577992
983,2578061
984,2578190
985,2578294
986,2578300
987,2578319
988,2578320
989,2578415
990,2578519
991,2578725
992,2579061
993,2579252
994,2579762
995,2580109
996,2580256
997,2580589
998,2580632
999,2580928
1000,2580976
1001,2580997
1002,2581037
1003,2581101
1004,2581104
1005,2581444
1006,2581472
1007,2581504
1008,2581554
1009,2581647
1010,2581797
1011,2581883
1012,2581994
1013,2582135
1014,2582330
1015,2582572
1016,2582597
1017,2583027
1018,2583355
